tick,alive,gamma,H,gamma_plus_H,sp0,sp1,sp2,sp3,sp4,total_fitness
807,100,0.0200,2.3064,2.3264,20,17,17,25,21,82.65
808,100,0.0600,2.2957,2.3557,21,16,17,27,19,83.15
809,100,0.0000,2.2957,2.2957,21,16,17,27,19,83.40
810,100,0.0300,2.2973,2.3273,21,17,17,27,18,83.40
811,100,0.0000,2.2973,2.2973,21,17,17,27,18,84.05
812,100,0.0000,2.2957,2.2957,21,17,16,27,19,84.05
813,100,0.0400,2.2954,2.3354,22,15,17,26,20,84.70
814,100,0.0300,2.2963,2.3263,22,16,16,26,20,83.55
815,100,0.0000,2.2954,2.2954,22,15,17,26,20,83.85
816,100,0.0000,2.2954,2.2954,22,15,17,26,20,83.35
817,100,0.0100,2.2994,2.3094,22,16,16,25,21,83.35
818,100,0.0500,2.3033,2.3533,21,17,16,25,21,83.85
819,100,0.0200,2.3013,2.3213,22,16,16,24,22,84.85
820,100,0.0000,2.3013,2.3013,22,16,16,24,22,84.85
821,100,0.0100,2.3051,2.3151,21,17,16,24,22,84.85
822,100,0.0100,2.3125,2.3225,20,18,17,23,22,85.35
823,100,0.0000,2.3125,2.3125,20,18,17,22,23,85.15
824,100,0.0400,2.3094,2.3494,21,18,16,22,23,85.05
825,100,0.0400,2.3080,2.3480,20,18,16,23,23,85.75
826,100,0.0000,2.3080,2.3080,20,18,16,23,23,85.80
827,100,0.0000,2.3089,2.3089,20,17,17,23,23,85.80
828,100,0.0200,2.3089,2.3289,20,17,17,23,23,85.30
829,100,0.0200,2.3080,2.3280,20,16,18,23,23,85.30
830,100,0.0000,2.3123,2.3123,20,16,21,20,23,84.15
831,100,0.0000,2.3074,2.3074,20,16,22,18,24,84.30
832,100,0.0100,2.3050,2.3150,19,17,22,17,25,84.35
833,100,0.0600,2.3005,2.3605,17,16,23,19,25,84.95
834,100,0.0000,2.3005,2.3005,17,16,25,19,23,84.55
835,100,0.0200,2.2981,2.3181,16,16,25,20,23,83.55
836,100,0.0300,2.2998,2.3298,15,17,24,21,23,83.60
837,100,0.0100,2.2998,2.3098,15,17,24,21,23,83.80
838,100,0.0500,2.3109,2.3609,16,19,23,20,22,83.80
839,100,0.0200,2.3116,2.3316,16,19,23,21,21,84.80
840,100,0.0200,2.3116,2.3316,16,19,23,21,21,85.10
841,100,0.0200,2.3160,2.3360,17,19,22,21,21,85.10
842,100,0.0200,2.3168,2.3368,18,18,22,21,21,85.20
843,100,0.0200,2.3132,2.3332,18,17,23,21,21,84.80
844,100,0.0000,2.3132,2.3132,18,17,23,21,21,84.25
845,100,0.0200,2.3147,2.3347,19,17,23,20,21,84.25
846,100,0.0400,2.3076,2.3476,20,15,23,20,22,83.95
847,100,0.0000,2.3016,2.3016,19,15,25,19,22,83.40
848,100,0.0000,2.3016,2.3016,19,15,25,19,22,83.80
849,100,0.0000,2.3016,2.3016,19,15,25,19,22,83.80
850,100,0.0200,2.3030,2.3230,19,15,25,20,21,83.80
851,100,0.0200,2.3055,2.3255,20,15,23,19,23,82.70
852,100,0.0100,2.3055,2.3155,20,15,23,19,23,82.80
853,100,0.0000,2.3055,2.3055,20,15,23,19,23,82.80
854,100,0.0200,2.3040,2.3240,21,15,23,18,23,82.80
855,100,0.0000,2.3040,2.3040,21,15,23,18,23,83.05
856,100,0.0200,2.3040,2.3240,21,15,23,18,23,83.05
857,100,0.0400,2.3068,2.3468,21,15,23,19,22,83.05
858,100,0.0000,2.3068,2.3068,21,15,23,19,22,83.80
859,100,0.0600,2.3160,2.3760,21,17,22,19,21,83.80
860,100,0.0000,2.3139,2.3139,21,17,22,18,22,84.45
861,100,0.0400,2.3116,2.3516,21,16,23,19,21,84.10
862,100,0.0000,2.3116,2.3116,21,16,23,19,21,83.80
863,100,0.0200,2.3068,2.3268,22,15,23,19,21,83.80
864,100,0.0300,2.3116,2.3416,21,16,23,19,21,83.95
865,100,0.0100,2.3160,2.3260,21,17,22,19,21,83.75
866,100,0.0300,2.3168,2.3468,21,17,22,20,20,84.05
867,100,0.0200,2.3160,2.3360,19,17,22,21,21,83.90
868,100,0.0000,2.3160,2.3160,19,17,22,21,21,83.35
869,100,0.0400,2.3147,2.3547,21,17,23,19,20,83.35
870,100,0.0200,2.3153,2.3353,22,17,22,19,20,83.80
871,100,0.0000,2.3153,2.3153,22,17,22,19,20,83.90
872,100,0.0200,2.3139,2.3339,21,17,22,18,22,83.90
873,100,0.0400,2.3160,2.3560,22,17,21,19,21,84.05
874,100,0.0000,2.3122,2.3122,21,16,22,19,22,83.95
875,100,0.0000,2.3122,2.3122,21,16,22,19,22,83.85
876,100,0.0900,2.3197,2.4097,21,18,20,21,20,83.85
877,100,0.0200,2.3197,2.3397,21,18,20,21,20,84.15
878,100,0.0000,2.3197,2.3197,21,18,20,21,20,84.15
879,100,0.0100,2.3212,2.3312,21,19,20,20,20,84.15
880,100,0.0300,2.3205,2.3505,20,19,19,21,21,83.90
881,100,0.0100,2.3205,2.3305,19,20,19,21,21,83.85
882,100,0.0300,2.3197,2.3497,20,21,18,21,20,84.25
883,100,0.0200,2.3190,2.3390,20,20,18,22,20,84.40
884,100,0.0200,2.3174,2.3374,21,20,17,21,21,84.35
885,100,0.0200,2.3168,2.3368,20,20,17,21,22,84.90
886,100,0.0100,2.3168,2.3268,20,20,17,21,22,84.55
887,100,0.0200,2.3112,2.3312,20,17,18,21,24,84.55
888,100,0.0200,2.3125,2.3325,20,17,18,22,23,82.80
889,100,0.0000,2.3125,2.3125,20,17,18,22,23,82.45
890,100,0.0200,2.3125,2.3325,20,17,18,23,22,82.45
891,100,0.0000,2.3125,2.3125,20,17,18,23,22,82.55
892,100,0.0100,2.3161,2.3261,20,18,18,22,22,82.55
893,100,0.0000,2.3161,2.3161,20,18,18,22,22,82.10
894,100,0.0000,2.3183,2.3183,20,18,19,22,21,82.10
895,100,0.0000,2.3183,2.3183,20,18,19,22,21,82.05
896,100,0.0300,2.3183,2.3483,20,18,19,21,22,82.05
897,100,0.0000,2.3170,2.3170,20,18,19,20,23,82.25
898,100,0.0400,2.3147,2.3547,21,17,19,20,23,82.60
899,100,0.0200,2.3174,2.3374,21,17,20,21,21,82.40
900,100,0.0200,2.3153,2.3353,19,17,20,22,22,82.15
901,100,0.0200,2.3109,2.3309,19,16,20,23,22,82.30
902,100,0.0100,2.3028,2.3128,19,15,19,23,24,81.95
903,100,0.0200,2.3049,2.3249,20,15,19,22,24,81.35
904,100,0.0000,2.3049,2.3049,20,15,19,22,24,82.05
905,100,0.0500,2.3075,2.3575,22,15,19,22,22,82.05
906,100,0.0000,2.3068,2.3068,22,15,19,21,23,82.15
907,100,0.0100,2.3109,2.3209,22,16,19,20,23,81.75
908,100,0.0200,2.3080,2.3280,23,16,18,20,23,82.15
909,100,0.0000,2.3088,2.3088,23,16,19,19,23,82.55
910,100,0.0200,2.3127,2.3327,20,17,20,19,24,82.35
911,100,0.0300,2.3048,2.3348,20,17,19,18,26,82.35
912,100,0.0200,2.3094,2.3294,20,17,19,19,25,82.20
913,100,0.0200,2.3056,2.3256,19,17,19,19,26,82.30
914,100,0.0000,2.3056,2.3056,19,17,19,19,26,82.40
915,100,0.0000,2.3031,2.3031,19,16,20,19,26,82.40
916,100,0.0400,2.3055,2.3455,21,16,20,18,25,82.00
917,100,0.0400,2.2957,2.3357,21,16,19,17,27,81.80
918,100,0.0200,2.2980,2.3180,20,18,19,16,27,82.15
919,100,0.0500,2.2980,2.3480,20,18,19,16,27,82.85
920,100,0.0900,2.2991,2.3891,21,19,19,15,26,83.10
921,100,0.0000,2.2934,2.2934,21,18,21,14,26,83.65
922,100,0.0600,2.2963,2.3563,22,16,20,16,26,83.25
923,100,0.0100,2.2954,2.3054,22,17,20,15,26,82.30
924,100,0.0100,2.2983,2.3083,21,18,20,15,26,82.65
925,100,0.0000,2.2924,2.2924,21,17,20,15,27,83.60
926,100,0.0200,2.2957,2.3157,21,17,19,16,27,83.35
927,100,0.0400,2.3004,2.3404,19,17,19,18,27,83.80
928,100,0.0200,2.2938,2.3138,17,17,19,19,28,83.60
929,100,0.0400,2.2946,2.3346,18,17,18,19,28,84.20
930,100,0.0300,2.2946,2.3246,18,18,17,19,28,83.45
931,100,0.0400,2.2829,2.3229,17,17,16,21,29,83.75
932,100,0.0400,2.2852,2.3252,18,17,15,22,28,83.50
933,100,0.0800,2.2861,2.3661,18,16,16,22,28,83.40
934,100,0.0400,2.2897,2.3297,19,15,18,20,28,83.75
935,100,0.0200,2.2847,2.3047,19,14,18,21,28,82.95
936,100,0.0500,2.2910,2.3410,19,15,17,22,27,83.00
937,100,0.0200,2.2817,2.3017,19,14,17,22,28,82.45
938,100,0.0300,2.2719,2.3019,17,14,17,23,29,82.35
939,100,0.0100,2.2816,2.2916,17,15,17,23,28,82.25
940,100,0.0300,2.2829,2.3129,17,16,17,21,29,82.45
941,100,0.0200,2.2965,2.3165,18,16,18,21,27,82.60
942,100,0.0700,2.3033,2.3733,21,17,18,18,26,83.20
943,100,0.0000,2.2996,2.2996,20,17,18,18,27,83.05
944,100,0.0400,2.3079,2.3479,21,17,18,19,25,83.00
945,100,0.0200,2.3033,2.3233,21,17,18,18,26,83.10
946,100,0.0500,2.3056,2.3556,20,18,18,18,26,82.75
947,100,0.0200,2.3087,2.3287,20,18,20,17,25,82.40
948,100,0.1000,2.3096,2.4096,20,16,21,19,24,82.45
949,100,0.0200,2.3081,2.3281,21,16,21,18,24,82.70
950,100,0.0100,2.3132,2.3232,21,17,21,18,23,82.95
951,100,0.0600,2.3016,2.3616,19,15,22,19,25,83.20
952,100,0.0000,2.3016,2.3016,19,15,22,19,25,82.00
953,100,0.0100,2.3063,2.3163,19,16,21,19,25,82.00
954,100,0.0000,2.3063,2.3063,19,16,21,19,25,82.00
955,100,0.0000,2.3063,2.3063,19,16,21,19,25,82.00
956,100,0.0200,2.3079,2.3279,19,17,21,18,25,82.00
957,100,0.0000,2.3079,2.3079,19,17,21,18,25,82.05
958,100,0.0200,2.3063,2.3263,19,16,21,19,25,82.05
959,100,0.0600,2.3112,2.3712,20,18,21,17,24,81.90
960,100,0.0000,2.3112,2.3112,20,18,21,17,24,81.45
961,100,0.0100,2.3098,2.3198,19,18,22,17,24,81.45
962,100,0.0500,2.3081,2.3581,21,18,21,16,24,81.15
963,100,0.0200,2.3081,2.3281,21,18,21,16,24,81.20
964,100,0.0000,2.3081,2.3081,21,18,21,16,24,81.20
965,100,0.0400,2.3125,2.3525,22,18,20,17,23,81.20
966,100,0.0400,2.3105,2.3505,23,18,19,17,23,82.00
967,100,0.0400,2.3098,2.3498,22,17,19,18,24,82.40
968,100,0.0200,2.3008,2.3208,22,15,20,18,25,82.90
969,100,0.0200,2.3030,2.3230,21,15,20,19,25,82.55
970,100,0.0000,2.3030,2.3030,21,15,20,19,25,82.30
971,100,0.0200,2.3147,2.3347,21,17,20,19,23,82.30
972,100,0.0000,2.3094,2.3094,20,17,19,19,25,83.25
973,100,0.0100,2.3048,2.3148,20,17,18,19,26,82.35
974,100,0.0000,2.2996,2.2996,20,17,18,18,27,82.60
975,100,0.0100,2.2946,2.3046,19,18,17,18,28,82.95
976,100,0.0200,2.3056,2.3256,20,18,18,18,26,83.10
977,100,0.0200,2.3102,2.3302,20,18,18,19,25,83.25
978,100,0.0500,2.3135,2.3635,20,18,18,20,24,83.55
979,100,0.0000,2.3135,2.3135,20,18,18,20,24,83.60
980,100,0.0200,2.3120,2.3320,21,17,19,19,24,83.60
981,100,0.0400,2.3048,2.3448,20,19,17,18,26,82.80
982,100,0.0300,2.3094,2.3394,19,20,17,19,25,83.15
983,100,0.0400,2.3087,2.3487,20,20,17,18,25,83.35
984,100,0.0200,2.3127,2.3327,20,20,17,19,24,83.30
985,100,0.0200,2.3110,2.3310,19,19,18,19,25,83.40
986,100,0.0300,2.3102,2.3402,18,19,18,20,25,83.30
987,100,0.0000,2.3102,2.3102,18,18,19,20,25,83.25
988,100,0.0200,2.3048,2.3248,17,20,18,19,26,83.35
989,100,0.0300,2.3055,2.3355,16,21,18,20,25,84.75
990,100,0.0100,2.3082,2.3182,16,22,19,19,24,85.35
991,100,0.0100,2.2987,2.3087,15,23,19,18,25,85.40
992,100,0.0200,2.3026,2.3226,16,22,20,17,25,85.75
993,100,0.0200,2.2954,2.3154,15,22,20,17,26,86.40
994,100,0.0000,2.2922,2.2922,15,22,21,16,26,85.95
995,100,0.0000,2.2922,2.2922,15,22,21,16,26,85.70
996,100,0.0400,2.3033,2.3433,16,21,21,17,25,85.70
997,100,0.0400,2.2983,2.3383,15,20,21,18,26,85.55
998,100,0.0200,2.2998,2.3198,15,20,20,19,26,85.95
999,100,0.0000,2.2998,2.2998,15,20,20,19,26,85.65
1000,100,0.0200,2.2956,2.3156,14,20,20,20,26,85.65
1001,100,0.0600,2.2952,2.3552,13,23,20,21,23,85.40
1002,100,0.0100,2.2952,2.3052,13,23,21,20,23,84.95
1003,100,0.0000,2.2952,2.2952,13,23,21,20,23,84.40
1004,100,0.0400,2.3026,2.3426,14,23,20,21,22,84.40
1005,100,0.0400,2.3012,2.3412,14,23,19,22,22,84.60
1006,100,0.0300,2.3068,2.3368,15,23,19,21,22,84.45
1007,100,0.0200,2.3094,2.3294,16,22,18,21,23,85.00
1008,100,0.0200,2.3034,2.3234,15,22,18,21,24,84.65
1009,100,0.0300,2.3055,2.3355,15,23,19,20,23,84.45
1010,100,0.0300,2.3109,2.3409,16,23,19,20,22,84.45
1011,100,0.0400,2.3153,2.3553,17,22,19,20,22,84.60
1012,100,0.0000,2.3153,2.3153,17,22,19,20,22,84.30
1013,100,0.0500,2.3068,2.3568,15,23,19,22,21,84.30
1014,100,0.0000,2.3068,2.3068,15,23,19,22,21,85.10
1015,100,0.0000,2.3026,2.3026,14,23,20,22,21,85.10
1016,100,0.0200,2.3026,2.3226,14,21,20,23,22,85.00
1017,100,0.0000,2.3026,2.3026,14,21,20,23,22,84.95
1018,100,0.0000,2.3026,2.3026,14,21,20,23,22,84.95
1019,100,0.0400,2.3006,2.3406,14,20,20,24,22,84.95
1020,100,0.0200,2.3032,2.3232,14,22,20,22,22,84.90
1021,100,0.0300,2.3039,2.3339,14,22,21,22,21,85.00
1022,100,0.0400,2.3068,2.3468,15,23,19,22,21,84.60
1023,100,0.0000,2.3068,2.3068,15,23,19,22,21,85.25
1024,100,0.0100,2.3034,2.3134,15,24,18,21,22,85.25
1025,100,0.0200,2.3040,2.3240,15,23,18,21,23,85.20
1026,100,0.0100,2.2970,2.3070,14,24,18,21,23,84.65
1027,100,0.0400,2.3068,2.3468,15,23,19,21,22,84.75
1028,100,0.0200,2.3109,2.3309,16,23,19,20,22,84.10
1029,100,0.0300,2.3147,2.3447,17,23,19,20,21,83.55
1030,100,0.0000,2.3109,2.3109,16,22,19,20,23,83.80
1031,100,0.0000,2.3109,2.3109,16,22,19,20,23,83.90
1032,100,0.0400,2.3122,2.3522,16,22,19,21,22,83.90
1033,100,0.0300,2.3136,2.3436,16,21,20,22,21,83.70
1034,100,0.0400,2.3153,2.3553,17,19,20,22,22,83.15
1035,100,0.0000,2.3153,2.3153,17,19,20,22,22,83.55
1036,100,0.0400,2.3013,2.3413,16,16,22,24,22,83.55
1037,100,0.0800,2.2922,2.3722,16,15,22,26,21,83.25
1038,100,0.0200,2.2904,2.3104,17,14,22,26,21,83.15
1039,100,0.0400,2.2867,2.3267,17,14,22,27,20,83.05
1040,100,0.0000,2.2890,2.2890,17,14,23,26,20,83.40
1041,100,0.0000,2.2890,2.2890,17,14,23,26,20,83.00
1042,100,0.0200,2.2846,2.3046,17,14,23,27,19,83.00
1043,100,0.0400,2.2780,2.3180,18,13,22,28,19,83.10
1044,100,0.0400,2.2661,2.3061,18,12,22,29,19,82.85
1045,100,0.0200,2.2785,2.2985,18,14,21,29,18,82.95
1046,100,0.0200,2.2847,2.3047,19,14,21,28,18,83.55
1047,100,0.0000,2.2825,2.2825,18,14,22,28,18,83.50
1048,100,0.0200,2.2870,2.3070,17,16,22,28,17,83.70
1049,100,0.0200,2.2900,2.3100,17,16,21,28,18,84.10
1050,100,0.0100,2.2973,2.3073,17,17,21,27,18,83.60
1051,100,0.0000,2.2973,2.2973,17,17,21,27,18,83.90
1052,100,0.0600,2.2861,2.3461,16,16,22,28,18,83.90
1053,100,0.0000,2.2808,2.2808,16,15,23,28,18,83.90
1054,100,0.0000,2.2782,2.2782,15,15,23,28,19,83.75
1055,100,0.0300,2.2737,2.3037,15,16,23,29,17,84.25
1056,100,0.0300,2.2959,2.3259,16,17,23,26,18,83.95
1057,100,0.0000,2.2959,2.2959,16,17,23,26,18,84.20
1058,100,0.0100,2.2970,2.3070,16,18,24,25,17,84.20
1059,100,0.0200,2.3028,2.3228,17,18,24,24,17,84.00
1060,100,0.0000,2.3028,2.3028,17,18,24,24,17,83.75
1061,100,0.0000,2.3028,2.3028,17,18,24,24,17,83.75
1062,100,0.0000,2.2979,2.2979,17,17,25,24,17,83.75
1063,100,0.0200,2.3028,2.3228,18,17,24,24,17,83.25
1064,100,0.0500,2.3070,2.3570,18,18,24,23,17,83.35
1065,100,0.0200,2.3070,2.3270,18,18,24,23,17,84.30
1066,100,0.0000,2.3070,2.3070,18,17,24,23,18,84.30
1067,100,0.0100,2.3128,2.3228,18,18,24,21,19,84.40
1068,100,0.0100,2.3143,2.3243,18,19,24,20,19,84.40
1069,100,0.0200,2.3163,2.3363,18,19,23,21,19,84.30
1070,100,0.0000,2.3163,2.3163,18,19,23,21,19,84.45
1071,100,0.0100,2.3147,2.3247,17,20,23,21,19,84.45
1072,100,0.0600,2.3163,2.3763,18,19,23,21,19,84.65
1073,100,0.0200,2.3125,2.3325,17,18,23,22,20,84.80
1074,100,0.0000,2.3125,2.3125,17,18,23,22,20,84.45
1075,100,0.0700,2.3133,2.3833,17,19,23,22,19,84.45
1076,100,0.0400,2.3169,2.3569,19,18,22,22,19,85.10
1077,100,0.0300,2.3198,2.3498,19,20,22,20,19,85.50
1078,100,0.0100,2.3190,2.3290,19,21,21,18,21,85.80
1079,100,0.0200,2.3127,2.3327,19,20,20,17,24,86.05
1080,100,0.0000,2.3147,2.3147,19,20,21,17,23,86.30
1081,100,0.0300,2.3183,2.3483,19,21,20,18,22,86.25
1082,100,0.0100,2.3168,2.3268,18,22,21,18,21,86.35
1083,100,0.0000,2.3168,2.3168,18,22,21,18,21,86.30
1084,100,0.0000,2.3168,2.3168,18,22,21,18,21,86.30
1085,100,0.0100,2.3141,2.3241,18,23,22,18,19,86.30
1086,100,0.0300,2.3141,2.3441,18,23,22,18,19,87.10
1087,100,0.0200,2.3128,2.3328,18,24,21,18,19,87.10
1088,100,0.0200,2.3160,2.3360,19,22,21,17,21,87.50
1089,100,0.0200,2.3122,2.3322,19,22,21,16,22,87.40
1090,100,0.0500,2.3123,2.3623,20,23,21,16,20,87.60
1091,100,0.0000,2.3123,2.3123,20,23,21,16,20,87.45
1092,100,0.0400,2.3132,2.3532,21,23,21,17,18,87.45
1093,100,0.0400,2.2924,2.3324,20,27,21,15,17,87.30
1094,100,0.0000,2.2924,2.2924,20,27,21,15,17,87.55
1095,100,0.0300,2.2874,2.3174,21,28,19,15,17,87.55
1096,100,0.0000,2.2874,2.2874,21,28,19,15,17,88.15
1097,100,0.0300,2.2904,2.3204,19,28,19,15,19,88.15
1098,100,0.0700,2.2980,2.3680,20,27,18,16,19,87.80
1099,100,0.0100,2.2987,2.3087,19,27,19,16,19,86.60
1100,100,0.0000,2.2987,2.2987,19,27,19,16,19,86.05
1101,100,0.0500,2.2930,2.3430,18,28,19,16,19,86.05
1102,100,0.0200,2.2922,2.3122,18,28,18,16,20,86.40
1103,100,0.0100,2.2922,2.3022,18,28,18,16,20,86.45
1104,100,0.0600,2.2946,2.3546,18,28,17,18,19,86.45
1105,100,0.0000,2.2946,2.2946,18,28,17,18,19,87.15
1106,100,0.0300,2.2946,2.3246,19,28,18,18,17,87.15
1107,100,0.0300,2.2897,2.3197,19,28,20,18,15,86.60
1108,100,0.0000,2.2897,2.2897,19,28,20,18,15,86.90
1109,100,0.0200,2.2854,2.3054,20,28,20,18,14,86.90
1110,100,0.0200,2.2874,2.3074,21,27,21,17,14,86.80
1111,100,0.0000,2.2904,2.2904,21,26,22,17,14,86.50
1112,100,0.0200,2.2904,2.3104,22,26,21,17,14,86.05
1113,100,0.0500,2.2884,2.3384,23,25,21,18,13,86.75
1114,100,0.0100,2.3026,2.3126,22,25,20,17,16,86.20
1115,100,0.0400,2.3081,2.3481,21,24,21,18,16,86.15
1116,100,0.0200,2.3051,2.3251,21,24,22,17,16,85.70
1117,100,0.0600,2.3155,2.3755,20,23,21,18,18,85.55
1118,100,0.0000,2.3155,2.3155,20,23,21,18,18,85.05
1119,100,0.0000,2.3155,2.3155,20,23,21,18,18,85.05
1120,100,0.0000,2.3197,2.3197,20,21,20,18,21,85.05
1121,100,0.0200,2.3190,2.3390,21,21,19,18,21,84.75
1122,100,0.0200,2.3168,2.3368,21,21,18,18,22,84.85
1123,100,0.0500,2.3191,2.3691,21,19,19,19,22,85.00
1124,100,0.0500,2.3169,2.3669,22,19,19,18,22,84.30
1125,100,0.0100,2.3161,2.3261,22,20,18,18,22,84.90
1126,100,0.0800,2.3183,2.3983,20,22,18,19,21,85.10
1127,100,0.0000,2.3153,2.3153,20,22,17,19,22,85.45
1128,100,0.0200,2.3098,2.3298,19,22,17,18,24,85.50
1129,100,0.0200,2.3094,2.3294,19,20,17,19,25,85.35
1130,100,0.0200,2.3098,2.3298,17,22,18,19,24,84.90
1131,100,0.0500,2.3105,2.3605,19,23,17,18,23,86.05
1132,100,0.0000,2.3153,2.3153,19,22,20,17,22,86.50
1133,100,0.0300,2.3133,2.3433,19,22,19,17,23,85.60
1134,100,0.0400,2.3136,2.3536,21,21,20,16,22,86.20
1135,100,0.0200,2.3136,2.3336,21,21,20,16,22,85.35
1136,100,0.0000,2.3082,2.3082,21,21,20,15,23,85.35
1137,100,0.0200,2.3136,2.3336,21,21,20,16,22,85.25
1138,100,0.0300,2.3136,2.3436,21,21,20,16,22,85.35
1139,100,0.0600,2.3197,2.3797,20,21,20,18,21,85.35
1140,100,0.0300,2.3183,2.3483,21,22,19,18,20,85.65
1141,100,0.0600,2.3212,2.3812,21,20,19,20,20,85.70
1142,100,0.0600,2.3163,2.3763,23,19,18,19,21,85.45
1143,100,0.0200,2.3155,2.3355,23,18,18,20,21,84.85
1144,100,0.0000,2.3155,2.3155,23,18,18,20,21,84.40
1145,100,0.0100,2.3155,2.3255,23,18,18,20,21,84.40
1146,100,0.0500,2.3155,2.3655,23,18,18,21,20,84.40
1147,100,0.0300,2.3183,2.3483,22,18,19,21,20,83.50
1148,100,0.0200,2.3147,2.3347,23,17,19,21,20,84.05
1149,100,0.0200,2.3125,2.3325,23,17,18,22,20,83.90
1150,100,0.0000,2.3139,2.3139,22,17,18,22,21,84.05
1151,100,0.0100,2.3168,2.3268,21,18,18,22,21,84.30
1152,100,0.0100,2.3160,2.3260,21,19,17,22,21,84.70
1153,100,0.0000,2.3160,2.3160,21,19,17,22,21,85.10
1154,100,0.0300,2.3160,2.3460,21,19,17,22,21,85.10
1155,100,0.0200,2.3147,2.3347,21,19,17,23,20,85.35
1156,100,0.0000,2.3147,2.3147,21,19,17,23,20,85.45
1157,100,0.0000,2.3147,2.3147,21,19,17,23,20,85.45
1158,100,0.0200,2.3183,2.3383,21,19,18,22,20,85.45
1159,100,0.0400,2.3161,2.3561,22,18,18,22,20,85.30
1160,100,0.0100,2.3183,2.3283,21,19,18,22,20,85.10
1161,100,0.0500,2.3163,2.3663,21,19,18,23,19,85.05
1162,100,0.0000,2.3163,2.3163,21,19,18,23,19,85.60
1163,100,0.0000,2.3163,2.3163,21,18,19,23,19,85.60
1164,100,0.0000,2.3163,2.3163,21,18,19,23,19,85.30
1165,100,0.0400,2.3163,2.3563,21,18,19,23,19,85.30
1166,100,0.0100,2.3147,2.3247,21,17,19,23,20,85.70
1167,100,0.0000,2.3147,2.3147,21,17,19,23,20,85.60
1168,100,0.0200,2.3094,2.3294,21,16,18,23,22,85.60
1169,100,0.0000,2.3094,2.3094,21,16,18,23,22,85.20
1170,100,0.0000,2.3058,2.3058,21,16,17,23,23,85.20
1171,100,0.0400,2.3064,2.3464,22,16,17,23,22,85.55
1172,100,0.0200,2.3100,2.3300,22,16,18,22,22,85.15
1173,100,0.0400,2.3125,2.3525,23,18,17,22,20,84.75
1174,100,0.0300,2.3074,2.3374,24,18,16,22,20,84.85
1175,100,0.0300,2.3087,2.3387,25,18,17,20,20,84.65
1176,100,0.0000,2.3087,2.3087,25,18,17,20,20,84.25
1177,100,0.0000,2.3094,2.3094,25,17,19,20,19,84.25
1178,100,0.0100,2.3102,2.3202,25,18,20,19,18,84.25
1179,100,0.0300,2.3064,2.3364,26,19,19,18,18,84.15
1180,100,0.0000,2.3064,2.3064,26,19,19,18,18,84.60
1181,100,0.0000,2.3064,2.3064,26,19,19,18,18,84.60
1182,100,0.0400,2.3017,2.3417,26,21,18,16,19,84.60
1183,100,0.0000,2.3017,2.3017,26,21,18,16,19,84.10
1184,100,0.0300,2.3017,2.3317,26,21,18,16,19,84.10
1185,100,0.0600,2.3025,2.3625,26,21,17,17,19,84.50
1186,100,0.0000,2.3025,2.3025,26,21,17,17,19,84.65
1187,100,0.0200,2.3031,2.3231,26,20,19,16,19,84.65
1188,100,0.0100,2.3096,2.3196,24,21,19,16,20,84.30
1189,100,0.0000,2.3096,2.3096,24,20,19,16,21,84.60
1190,100,0.0000,2.3096,2.3096,24,20,19,16,21,84.20
1191,100,0.0000,2.3096,2.3096,24,20,19,16,21,84.20
1192,100,0.0000,2.3109,2.3109,22,20,19,16,23,84.20
1193,100,0.0200,2.3109,2.3309,23,20,19,16,22,84.40
1194,100,0.0200,2.2985,2.3185,23,19,20,14,24,84.45
1195,100,0.0200,2.2985,2.3185,23,19,20,14,24,84.10
1196,100,0.0000,2.2985,2.2985,23,19,20,14,24,84.10
1197,100,0.0100,2.3012,2.3112,23,20,20,14,23,84.10
1198,100,0.0600,2.3080,2.3680,23,18,20,16,23,84.55
1199,100,0.0200,2.3062,2.3262,23,17,19,17,24,84.65
1200,100,0.0400,2.2978,2.3378,24,17,20,15,24,85.05
1201,100,0.0200,2.3011,2.3211,24,17,19,16,24,84.85
1202,100,0.0000,2.3011,2.3011,24,17,19,16,24,85.00
1203,100,0.0000,2.3005,2.3005,23,17,19,16,25,85.00
1204,100,0.0200,2.2954,2.3154,24,16,19,16,25,84.95
1205,100,0.0300,2.2970,2.3270,24,17,18,16,25,85.15
1206,100,0.0200,2.2970,2.3170,24,17,18,16,25,85.35
1207,100,0.0000,2.2970,2.2970,24,17,18,16,25,85.35
1208,100,0.0400,2.2842,2.3242,26,16,18,15,25,85.35
1209,100,0.0000,2.2816,2.2816,25,15,19,15,26,85.45
1210,100,0.0200,2.2888,2.3088,25,15,19,16,25,85.70
1211,100,0.0200,2.2735,2.2935,26,14,19,15,26,85.50
1212,100,0.0200,2.2762,2.2962,27,14,20,15,24,85.10
1213,100,0.0000,2.2805,2.2805,25,14,21,15,25,84.50
1214,100,0.0500,2.2871,2.3371,24,14,21,16,25,84.05
1215,100,0.0100,2.2890,2.2990,24,14,22,16,24,83.25
1216,100,0.0100,2.2959,2.3059,23,15,22,16,24,83.45
1217,100,0.0000,2.2959,2.2959,23,15,22,16,24,83.55
1218,100,0.0400,2.3004,2.3404,24,15,22,17,22,83.55
1219,100,0.0000,2.3004,2.3004,24,15,22,17,22,82.85
1220,100,0.0100,2.3010,2.3110,22,15,23,17,23,82.85
1221,100,0.0000,2.2893,2.2893,22,15,23,15,25,82.30
1222,100,0.0300,2.2933,2.3233,20,16,21,16,27,82.45
