freq,random,periodic,rps,fibonacci,life
0 0.0018 0.0156 0.0166 0.0000 0.4920
1 0.0005 0.0000 0.0006 0.0000 0.0000
2 0.0005 0.0000 0.0011 0.0000 0.0000
3 0.0010 0.0000 0.0010 0.0000 0.0000
4 0.0002 0.0000 0.0005 0.0000 0.0000
5 0.0000 0.0000 0.0008 0.0000 0.0000
6 0.0012 0.0000 0.0035 0.0000 0.0000
7 0.0010 0.0000 0.0004 0.0000 0.0000
8 0.0013 0.0000 0.0005 0.0000 0.0000
9 0.0022 0.0000 0.0017 0.0000 0.0000
10 0.0019 0.0000 0.0007 0.0000 0.0000
11 0.0015 0.0000 0.0018 0.0000 0.0000
12 0.0021 0.0000 0.0003 0.0000 0.0000
13 0.0009 0.0000 0.0016 0.0000 0.0000
14 0.0006 0.0000 0.0004 0.0000 0.0000
15 0.0007 0.0000 0.0038 0.0000 0.0000
16 0.0010 0.0000 0.0003 0.0000 0.0000
17 0.0001 0.0000 0.0001 0.0000 0.0000
18 0.0002 0.0000 0.0029 0.0000 0.0000
19 0.0019 0.0000 0.0009 0.0000 0.0000
20 0.0009 0.0000 0.0013 0.0000 0.0000
21 0.0031 0.0000 0.0005 0.0000 0.0000
22 0.0045 0.0000 0.0032 0.0000 0.0000
23 0.0010 0.0000 0.0005 0.0000 0.0000
24 0.0016 0.0000 0.0001 0.0000 0.0000
25 0.0060 0.0000 0.0018 0.0000 0.0000
26 0.0006 0.0000 0.0003 0.0000 0.0000
27 0.0005 0.0000 0.0026 0.0000 0.0000
28 0.0006 0.0000 0.0000 0.0000 0.0000
29 0.0005 0.0000 0.0001 0.0000 0.0000
30 0.0002 0.0000 0.0036 0.0000 0.0000
31 0.0023 0.0000 0.0033 0.0000 0.0000
